timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1607893117734,27,Home,200,,Thread-Gruppe 1-1,text,true,,8822,150,1,1,25,0,12
1607893117764,16,Login,200,,Thread-Gruppe 1-1,text,true,,10104,1026,1,1,9,0,0
1607893117764,9,Login-0,302,,Thread-Gruppe 1-1,,true,,755,278,1,1,9,0,0
1607893117776,4,Login-1,200,,Thread-Gruppe 1-1,text,true,,9349,748,1,1,3,0,0
1607893117787,3,Home,200,,Thread-Gruppe 1-2,text,true,,8822,150,2,2,3,0,1
1607893117781,11,List Products,200,,Thread-Gruppe 1-1,text,true,,118983,774,2,2,9,0,0
1607893117792,12,Login,200,,Thread-Gruppe 1-2,text,true,,10103,1025,2,2,8,0,0
1607893117792,8,Login-0,302,,Thread-Gruppe 1-2,,true,,754,278,2,2,8,0,0
1607893117801,3,Login-1,200,,Thread-Gruppe 1-2,text,true,,9349,747,2,2,3,0,0
1607893117796,13,Look at Product,200,,Thread-Gruppe 1-1,text,true,,107835,720,2,2,12,0,0
1607893117805,9,List Products,200,,Thread-Gruppe 1-2,text,true,,100738,773,2,2,7,0,0
1607893117810,16,Add Product to Cart,200,,Thread-Gruppe 1-1,text,true,,25727,1703,2,2,4,0,0
1607893117810,4,Add Product to Cart-0,302,,Thread-Gruppe 1-1,,true,,885,825,2,2,4,0,0
1607893117815,11,Add Product to Cart-1,200,,Thread-Gruppe 1-1,text,true,,24842,878,2,2,10,0,0
1607893117817,10,Look at Product,200,,Thread-Gruppe 1-2,text,true,,83438,761,2,2,9,0,0
1607893117827,7,List Products with different page,200,,Thread-Gruppe 1-1,text,true,,116591,900,2,2,6,0,0
1607893117828,12,Add Product to Cart,200,,Thread-Gruppe 1-2,text,true,,23866,1742,2,2,2,0,0
1607893117828,2,Add Product to Cart-0,302,,Thread-Gruppe 1-2,,true,,883,866,2,2,2,0,0
1607893117831,9,Add Product to Cart-1,200,,Thread-Gruppe 1-2,text,true,,22983,876,2,2,9,0,0
1607893117841,8,List Products with different page,200,,Thread-Gruppe 1-2,text,true,,98216,898,2,2,7,0,0
1607893117837,14,Add Product 2 to Cart,200,,Thread-Gruppe 1-1,text,true,,26443,1990,2,2,3,0,0
1607893117837,3,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-1,,true,,1004,993,2,2,3,0,0
1607893117841,10,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-1,text,true,,25439,997,2,2,10,0,0
1607893117852,6,Logout,200,,Thread-Gruppe 1-1,text,true,,10479,1833,2,2,2,0,0
1607893117852,2,Logout-0,302,,Thread-Gruppe 1-1,,true,,1344,1095,2,2,2,0,0
1607893117855,3,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9135,738,2,2,3,0,0
1607893117859,3,Home,200,,Thread-Gruppe 1-1,text,true,,8822,150,2,2,3,0,0
1607893117851,13,Add Product 2 to Cart,200,,Thread-Gruppe 1-2,text,true,,24550,1985,2,2,3,0,0
1607893117851,3,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-2,,true,,1001,991,2,2,3,0,0
1607893117855,9,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-2,text,true,,23549,994,2,2,9,0,0
1607893117865,7,Logout,200,,Thread-Gruppe 1-2,text,true,,10479,1777,2,2,2,0,0
1607893117865,2,Logout-0,302,,Thread-Gruppe 1-2,,true,,1344,1039,2,2,2,0,0
1607893117868,4,Logout-1,200,,Thread-Gruppe 1-2,text,true,,9135,738,2,2,4,0,0
1607893117862,177,Login,200,,Thread-Gruppe 1-1,text,true,,10105,1027,4,4,10,0,0
1607893117862,10,Login-0,302,,Thread-Gruppe 1-1,,true,,756,278,4,4,10,0,0
1607893117872,167,Login-1,200,,Thread-Gruppe 1-1,text,true,,9349,749,4,4,167,0,0
1607893117873,166,Home,200,,Thread-Gruppe 1-2,text,true,,8822,150,4,4,166,0,0
1607893117984,55,Home,200,,Thread-Gruppe 1-4,text,true,,8822,150,4,4,55,0,0
1607893117885,154,Home,200,,Thread-Gruppe 1-3,text,true,,8822,150,4,4,154,0,0
1607893118040,9,List Products,200,,Thread-Gruppe 1-1,text,true,,147011,775,4,4,7,0,0
1607893118040,11,Login,200,,Thread-Gruppe 1-2,text,true,,10104,1026,4,4,7,0,0
1607893118040,7,Login-0,302,,Thread-Gruppe 1-2,,true,,755,278,4,4,7,0,0
1607893118048,3,Login-1,200,,Thread-Gruppe 1-2,text,true,,9349,748,4,4,3,0,0
1607893118040,13,Login,200,,Thread-Gruppe 1-4,text,true,,10105,1027,4,4,10,0,0
1607893118040,10,Login-0,302,,Thread-Gruppe 1-4,,true,,756,278,4,4,10,0,0
1607893118050,3,Login-1,200,,Thread-Gruppe 1-4,text,true,,9349,749,4,4,3,0,0
1607893118040,13,Login,200,,Thread-Gruppe 1-3,text,true,,10104,1026,4,4,10,0,0
1607893118040,10,Login-0,302,,Thread-Gruppe 1-3,,true,,755,278,4,4,10,0,0
1607893118050,3,Login-1,200,,Thread-Gruppe 1-3,text,true,,9349,748,4,4,3,0,0
1607893118051,9,List Products,200,,Thread-Gruppe 1-2,text,true,,147011,774,4,4,8,0,0
1607893118054,7,List Products,200,,Thread-Gruppe 1-3,text,true,,108144,774,4,4,5,0,0
1607893118054,7,List Products,200,,Thread-Gruppe 1-4,text,true,,108144,775,4,4,5,0,0
1607893118051,17,Look at Product,200,,Thread-Gruppe 1-1,text,true,,138009,763,4,4,13,0,0
1607893118062,14,Look at Product,200,,Thread-Gruppe 1-2,text,true,,132004,762,4,4,12,0,0
1607893118062,14,Look at Product,200,,Thread-Gruppe 1-3,text,true,,88269,762,4,4,13,0,0
1607893118063,13,Look at Product,200,,Thread-Gruppe 1-4,text,true,,104795,763,4,4,12,0,0
1607893118069,17,Add Product to Cart,200,,Thread-Gruppe 1-1,text,true,,25721,1747,5,5,3,0,0
1607893118069,3,Add Product to Cart-0,302,,Thread-Gruppe 1-1,,true,,886,868,5,5,3,0,0
1607893118073,13,Add Product to Cart-1,200,,Thread-Gruppe 1-1,text,true,,24835,879,5,5,13,0,0
1607893118084,4,Home,200,,Thread-Gruppe 1-5,text,true,,8822,150,5,5,4,0,0
1607893118077,14,Add Product to Cart,200,,Thread-Gruppe 1-3,text,true,,24241,1745,5,5,4,0,0
1607893118077,14,Add Product to Cart,200,,Thread-Gruppe 1-4,text,true,,28919,1747,5,5,3,0,0
1607893118077,4,Add Product to Cart-0,302,,Thread-Gruppe 1-3,,true,,885,867,5,5,4,0,0
1607893118077,3,Add Product to Cart-0,302,,Thread-Gruppe 1-4,,true,,886,868,5,5,3,0,0
1607893118081,10,Add Product to Cart-1,200,,Thread-Gruppe 1-3,text,true,,23356,878,5,5,10,0,0
1607893118081,10,Add Product to Cart-1,200,,Thread-Gruppe 1-4,text,true,,28033,879,5,5,10,0,0
1607893118077,14,Add Product to Cart,200,,Thread-Gruppe 1-2,text,true,,23874,1744,5,5,3,0,0
1607893118077,3,Add Product to Cart-0,302,,Thread-Gruppe 1-2,,true,,884,867,5,5,3,0,0
1607893118081,10,Add Product to Cart-1,200,,Thread-Gruppe 1-2,text,true,,22990,877,5,5,10,0,0
1607893118087,11,List Products with different page,200,,Thread-Gruppe 1-1,text,true,,142419,901,5,5,8,0,0
1607893118089,13,Login,200,,Thread-Gruppe 1-5,text,true,,10103,1025,5,5,10,0,0
1607893118089,10,Login-0,302,,Thread-Gruppe 1-5,,true,,754,278,5,5,10,0,0
1607893118099,3,Login-1,200,,Thread-Gruppe 1-5,text,true,,9349,747,5,5,3,0,0
1607893118092,10,List Products with different page,200,,Thread-Gruppe 1-4,text,true,,105745,901,5,5,9,0,0
1607893118092,11,List Products with different page,200,,Thread-Gruppe 1-3,text,true,,105745,900,5,5,9,0,0
1607893118092,13,List Products with different page,200,,Thread-Gruppe 1-2,text,true,,146619,899,5,5,9,0,0
1607893118103,32,List Products,200,,Thread-Gruppe 1-5,text,true,,100738,773,5,5,8,0,0
1607893118099,38,Add Product 2 to Cart,200,,Thread-Gruppe 1-1,text,true,,26420,1991,5,5,3,0,0
1607893118099,3,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-1,,true,,1004,994,5,5,3,0,0
1607893118103,34,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-1,text,true,,25416,997,5,5,34,0,0
1607893118104,35,Add Product 2 to Cart,200,,Thread-Gruppe 1-3,text,true,,24939,1989,5,5,3,0,0
1607893118104,3,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-3,,true,,1003,993,5,5,3,0,0
1607893118108,31,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-3,text,true,,23936,996,5,5,31,0,0
1607893118104,36,Add Product 2 to Cart,200,,Thread-Gruppe 1-4,text,true,,29609,1991,5,5,3,0,0
1607893118104,3,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-4,,true,,1004,994,5,5,3,0,0
1607893118107,33,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-4,text,true,,28605,997,5,5,33,0,0
1607893118106,38,Add Product 2 to Cart,200,,Thread-Gruppe 1-2,text,true,,24565,1987,5,5,3,0,0
1607893118106,3,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-2,,true,,1002,992,5,5,3,0,0
1607893118110,34,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-2,text,true,,23563,995,5,5,34,0,0
1607893118138,7,Logout,200,,Thread-Gruppe 1-1,text,true,,10479,1833,5,5,2,0,0
1607893118138,2,Logout-0,302,,Thread-Gruppe 1-1,,true,,1344,1095,5,5,2,0,0
1607893118140,5,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9135,738,5,5,5,0,0
1607893118140,7,Logout,200,,Thread-Gruppe 1-3,text,true,,10479,1832,5,5,3,0,0
1607893118141,6,Logout,200,,Thread-Gruppe 1-4,text,true,,10479,1833,5,5,2,0,0
1607893118140,3,Logout-0,302,,Thread-Gruppe 1-3,,true,,1344,1094,5,5,3,0,0
1607893118141,2,Logout-0,302,,Thread-Gruppe 1-4,,true,,1344,1095,5,5,2,0,0
1607893118143,4,Logout-1,200,,Thread-Gruppe 1-3,text,true,,9135,738,5,5,4,0,0
1607893118143,4,Logout-1,200,,Thread-Gruppe 1-4,text,true,,9135,738,5,5,4,0,0
1607893118146,3,Home,200,,Thread-Gruppe 1-1,text,true,,8822,150,5,5,2,0,0
1607893118137,13,Look at Product,200,,Thread-Gruppe 1-5,text,true,,86815,761,5,5,12,0,0
1607893118148,3,Home,200,,Thread-Gruppe 1-4,text,true,,8822,150,5,5,3,0,0
1607893118148,3,Home,200,,Thread-Gruppe 1-3,text,true,,8822,150,5,5,3,0,0
1607893118145,8,Logout,200,,Thread-Gruppe 1-2,text,true,,10479,1831,5,5,4,0,0
1607893118145,4,Logout-0,302,,Thread-Gruppe 1-2,,true,,1344,1093,5,5,4,0,0
1607893118149,4,Logout-1,200,,Thread-Gruppe 1-2,text,true,,9135,738,5,5,4,0,0
1607893118153,2,Home,200,,Thread-Gruppe 1-2,text,true,,8822,150,5,5,2,0,0
1607893118151,9,Login,200,,Thread-Gruppe 1-3,text,true,,10105,1027,5,5,6,0,0
1607893118151,6,Login-0,302,,Thread-Gruppe 1-3,,true,,756,278,5,5,6,0,0
1607893118157,3,Login-1,200,,Thread-Gruppe 1-3,text,true,,9349,749,5,5,3,0,0
1607893118151,11,Login,200,,Thread-Gruppe 1-4,text,true,,10104,1026,5,5,8,0,0
1607893118151,8,Login-0,302,,Thread-Gruppe 1-4,,true,,755,278,5,5,8,0,0
1607893118159,3,Login-1,200,,Thread-Gruppe 1-4,text,true,,9349,748,5,5,3,0,0
1607893118150,12,Login,200,,Thread-Gruppe 1-1,text,true,,10105,1027,5,5,9,0,0
1607893118150,9,Login-0,302,,Thread-Gruppe 1-1,,true,,756,278,5,5,9,0,0
1607893118159,3,Login-1,200,,Thread-Gruppe 1-1,text,true,,9349,749,5,5,3,0,0
1607893118151,13,Add Product to Cart,200,,Thread-Gruppe 1-5,text,true,,25162,1743,5,5,3,0,0
1607893118151,3,Add Product to Cart-0,302,,Thread-Gruppe 1-5,,true,,884,866,5,5,3,0,0
1607893118154,10,Add Product to Cart-1,200,,Thread-Gruppe 1-5,text,true,,24278,877,5,5,9,0,0
1607893118156,13,Login,200,,Thread-Gruppe 1-2,text,true,,10103,1025,5,5,9,0,0
1607893118156,9,Login-0,302,,Thread-Gruppe 1-2,,true,,754,278,5,5,9,0,0
1607893118165,4,Login-1,200,,Thread-Gruppe 1-2,text,true,,9349,747,5,5,4,0,0
1607893118163,8,List Products,200,,Thread-Gruppe 1-1,text,true,,108144,775,5,5,6,0,0
1607893118161,11,List Products,200,,Thread-Gruppe 1-3,text,true,,118983,775,5,5,10,0,0
1607893118164,9,List Products with different page,200,,Thread-Gruppe 1-5,text,true,,99009,899,5,5,7,0,0
1607893118162,9,List Products,200,,Thread-Gruppe 1-4,text,true,,118983,774,5,5,7,0,0
1607893118170,9,List Products,200,,Thread-Gruppe 1-2,text,true,,118983,773,5,5,7,0,0
1607893118173,13,Look at Product,200,,Thread-Gruppe 1-1,text,true,,93596,763,6,6,12,0,0
1607893118175,11,Look at Product,200,,Thread-Gruppe 1-4,text,true,,120867,720,6,6,10,0,0
1607893118184,4,Home,200,,Thread-Gruppe 1-6,text,true,,8822,150,6,6,3,0,0
1607893118174,14,Add Product 2 to Cart,200,,Thread-Gruppe 1-5,text,true,,25859,1988,6,6,3,0,0
1607893118174,3,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-5,,true,,1003,992,6,6,3,0,0
1607893118177,11,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-5,text,true,,24856,996,6,6,10,0,0
1607893118173,17,Look at Product,200,,Thread-Gruppe 1-3,text,true,,103286,763,6,6,16,0,0
1607893118188,9,Logout,200,,Thread-Gruppe 1-5,text,true,,10479,1832,6,6,2,0,0
1607893118188,2,Logout-0,302,,Thread-Gruppe 1-5,,true,,1344,1094,6,6,2,0,0
1607893118190,7,Logout-1,200,,Thread-Gruppe 1-5,text,true,,9135,738,6,6,7,0,0
