timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1608053558956,32,Home,200,,Thread-Gruppe 1-1,text,true,,8822,150,1,1,29,0,14
1608053559005,7,Home,200,,Thread-Gruppe 1-2,text,true,,8822,150,2,2,7,0,1
1608053558990,28,Login,200,,Thread-Gruppe 1-1,text,true,,10366,496,2,2,18,0,0
1608053558990,18,Login-0,302,,Thread-Gruppe 1-1,,true,,214,277,2,2,18,0,0
1608053559010,8,Login-1,200,,Thread-Gruppe 1-1,text,true,,10152,219,2,2,8,0,0
1608053559013,11,Login,200,,Thread-Gruppe 1-2,text,true,,10366,496,2,2,6,0,0
1608053559013,6,Login-0,302,,Thread-Gruppe 1-2,,true,,214,277,2,2,6,0,0
1608053559019,5,Login-1,200,,Thread-Gruppe 1-2,text,true,,10152,219,2,2,5,0,0
1608053559020,13,List Products,200,,Thread-Gruppe 1-1,text,true,,107951,240,2,2,11,0,0
1608053559025,13,List Products,200,,Thread-Gruppe 1-2,text,true,,118790,240,2,2,11,0,0
1608053559040,25,Look at Product,200,,Thread-Gruppe 1-2,text,true,,121604,228,2,2,24,0,0
1608053559038,27,Look at Product,200,,Thread-Gruppe 1-1,text,true,,106037,228,2,2,26,0,0
1608053559066,25,Add Product to Cart,200,,Thread-Gruppe 1-2,text,true,,28959,1126,2,2,7,0,0
1608053559066,25,Add Product to Cart,200,,Thread-Gruppe 1-1,text,true,,28957,1127,2,2,7,0,0
1608053559066,7,Add Product to Cart-0,302,,Thread-Gruppe 1-2,,true,,744,333,2,2,7,0,0
1608053559066,7,Add Product to Cart-0,302,,Thread-Gruppe 1-1,,true,,745,333,2,2,7,0,0
1608053559074,17,Add Product to Cart-1,200,,Thread-Gruppe 1-2,text,true,,28215,793,2,2,16,0,0
1608053559074,17,Add Product to Cart-1,200,,Thread-Gruppe 1-1,text,true,,28212,794,2,2,16,0,0
1608053559092,12,List Products with different page,200,,Thread-Gruppe 1-1,text,true,,107077,816,3,3,10,0,0
1608053559103,6,Home,200,,Thread-Gruppe 1-3,text,true,,8822,150,3,3,6,0,0
1608053559110,10,Login,200,,Thread-Gruppe 1-3,text,true,,10366,496,3,3,4,0,0
1608053559110,4,Login-0,302,,Thread-Gruppe 1-3,,true,,214,277,3,3,4,0,0
1608053559114,6,Login-1,200,,Thread-Gruppe 1-3,text,true,,10152,219,3,3,6,0,0
1608053559121,11,List Products,200,,Thread-Gruppe 1-3,text,true,,100545,240,3,3,10,0,0
1608053559108,25,Add Product 2 to Cart,200,,Thread-Gruppe 1-1,text,true,,29642,1821,3,3,6,0,0
1608053559108,6,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-1,,true,,863,909,3,3,6,0,0
1608053559115,18,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-1,text,true,,28779,912,3,3,18,0,0
1608053559134,12,Logout,200,,Thread-Gruppe 1-1,text,true,,10553,1674,3,3,5,0,0
1608053559134,5,Logout-0,302,,Thread-Gruppe 1-1,,true,,1084,1010,3,3,5,0,0
