timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1607893395069,26,Home,200,,Thread-Gruppe 1-1,text,true,,8822,150,1,1,23,0,12
1607893395098,22,Login,200,,Thread-Gruppe 1-1,text,true,,10103,1025,1,1,13,0,0
1607893395098,13,Login-0,302,,Thread-Gruppe 1-1,,true,,754,278,1,1,13,0,0
1607893395115,5,Login-1,200,,Thread-Gruppe 1-1,text,true,,9349,747,1,1,5,0,0
1607893395124,4,Home,200,,Thread-Gruppe 1-2,text,true,,8822,150,2,2,4,0,0
1607893395121,12,List Products,200,,Thread-Gruppe 1-1,text,true,,100738,773,2,2,10,0,0
1607893395130,14,Login,200,,Thread-Gruppe 1-2,text,true,,10103,1025,2,2,9,0,0
1607893395130,9,Login-0,302,,Thread-Gruppe 1-2,,true,,754,278,2,2,9,0,0
1607893395140,4,Login-1,200,,Thread-Gruppe 1-2,text,true,,9349,747,2,2,4,0,0
1607893395136,14,Look at Product,200,,Thread-Gruppe 1-1,text,true,,89999,761,2,2,13,0,0
1607893395145,7,List Products,200,,Thread-Gruppe 1-2,text,true,,93444,773,2,2,6,0,0
1607893395154,13,Look at Product,200,,Thread-Gruppe 1-2,text,true,,83591,760,2,2,12,0,0
1607893395151,17,Add Product to Cart,200,,Thread-Gruppe 1-1,text,true,,25720,1743,2,2,6,0,0
1607893395151,6,Add Product to Cart-0,302,,Thread-Gruppe 1-1,,true,,884,866,2,2,6,0,0
1607893395158,10,Add Product to Cart-1,200,,Thread-Gruppe 1-1,text,true,,24836,877,2,2,10,0,0
1607893395168,8,List Products with different page,200,,Thread-Gruppe 1-1,text,true,,98216,899,2,2,6,0,0
1607893395168,14,Add Product to Cart,200,,Thread-Gruppe 1-2,text,true,,23865,1740,2,2,3,0,0
1607893395168,3,Add Product to Cart-0,302,,Thread-Gruppe 1-2,,true,,882,865,2,2,3,0,0
1607893395171,11,Add Product to Cart-1,200,,Thread-Gruppe 1-2,text,true,,22983,875,2,2,10,0,0
1607893395222,9,Home,200,,Thread-Gruppe 1-3,text,true,,8822,150,3,3,9,0,0
1607893395183,47,List Products with different page,200,,Thread-Gruppe 1-2,text,true,,93464,897,3,3,45,0,0
1607893395177,55,Add Product 2 to Cart,200,,Thread-Gruppe 1-1,text,true,,26424,1987,3,3,3,0,0
1607893395177,3,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-1,,true,,1002,992,3,3,3,0,0
1607893395181,51,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-1,text,true,,25422,995,3,3,50,0,0
1607893395233,6,Logout,200,,Thread-Gruppe 1-1,text,true,,10479,1831,3,3,2,0,0
1607893395233,2,Logout-0,302,,Thread-Gruppe 1-1,,true,,1344,1093,3,3,2,0,0
1607893395236,3,Logout-1,200,,Thread-Gruppe 1-1,text,true,,9135,738,3,3,3,0,0
1607893395232,12,Login,200,,Thread-Gruppe 1-3,text,true,,10104,1026,3,3,8,0,0
1607893395240,4,Home,200,,Thread-Gruppe 1-1,text,true,,8822,150,3,3,4,0,0
1607893395232,8,Login-0,302,,Thread-Gruppe 1-3,,true,,755,278,3,3,8,0,0
